Producto,Descripcion,Categoria,Response
Divisor con amplificador RF (booster) de 4 salidas,", Utiliza este amplificador para dar más potencia a tu señal de video en caso de que alimentes varias televisiones con el mismo cable o por tramos largos.",Otros,[]
"Conector macho tipo ""F"" para cable RG6, de enroscar","Conector macho (plug) tipo ""F"" para cable coaxial RG6, con anillo integrado de enroscar.",Otros,[]
Mini sirena de 1 tono,"Sirena piezo cerámico (sin bobina ni imán), cuadrada, de un tono constante a 105 dB y alimentación de 12 Vcc. Mide 4 x 4,4 x 5,8 cm y está fabricada en plástico ABS color negro. Por su alto volumen y agudo sonido, es muy útil en sistemas de alarmas, ya que atrae la atención inmediatamente, ahuyentando a cualquier intruso.",Otros,[]
Controlador Wi-Fi* para tira LED RGB,"Haz inteligente la iluminación decorativa en cualquier espacio, Con este controlador haz inteligente la iluminación decorativa en cualquier espacio.",Otros,[]
"Cable plug a plug RJ11 de 4.5m, para extensión telefónica","Cable telefónico con 2 conectores macho (plug) RJ11, de 4 hilos, para extensión. Mide 4,5 m y es de color marfil.",Otros,[]
"Cable UTP CAT5e, color azul",", Con el Cable UTP categoría 5e puedes realizar instalaciones de red de manera profesional. Asegura la calidad de transmisión de voz y datos a una velocidad de 1 Gbps gracias a sus materiales y construcción.",Otros,[]
"Sistema de seguridad CCTV con DVR pentahíbrido de 4 canales BNC + 2 IPC, 4 cámaras, disco duro y monitoreo por Internet","La solución integral de vigilancia para hogar o negocio, Con este sistema de vigilancia, monitorea hasta 6 zonas diferentes de tu casa, oficina o negocio.",Otros,[]
"Adaptador de plug 3,5 mm a 2 jacks RCA, estéreo","Adaptador de dos conectores hembra (jack) RCA a un conector macho (plug) 3,5 mm, estéreo.",Otros,[]
"Acoplador direccional tipo ""T"", de 20 dB de atenuación, con caja soldada","Acoplador direccional Digital Ready tipo ""T"", de 1 GHz, con derivación (Tap) de 20 dB y caja soldada. Tiene un rango de operación de 5 a 1000 MHz, es para uso en exteriores, diseñado para montaje en pared y cuenta con blindaje contra interferencia electromagnética (EMI) &gt;-130 dBmV.",Otros,[]
Candado de huella digital (biométrico),"¡Usa tu huella digital y olvídate de las contraseñas y las llaves!, Con este candado de huella digital (biométrico), deja de recordar combinaciones numéricas o de cargar llaves extra. ¡Solo tendrás que tocarlo para abrirlo!",Otros,[]
Alarma sonora con luz estroboscópica roja,"¡Complementa tu sistema de seguridad!, Utiliza esta alarma en sistemas de seguridad de casa u oficina y en vehículos de transporte o equipo de carga.",Otros,[]
Chapa electromagnética,"Complementa tu sistema de apertura, Utiliza esta chapa electromagnética como complemento en sistemas de apertura, como controles de acceso en empresas y negocios, Video timbres, TV porteros o intercomunicadores en casas u oficinas.",Otros,[]
"Adaptador elite de plug 3,5 mm a jack 6,3 mm, monoaural","Adaptador de conector macho (plug) de 3,5 mm a conector hembra (jack) de 6,3 mm, monoaural. Con acabado dorado de 24 K.",Otros,[]
Rollo de papel térmico para enfajilladora BILL-300,"Gracias a la cinta de papel térmico para la enfajilladora de billetes BILL-300 puedes seguir formando fajos de forma sencilla, rápida y consistente.",Otros,[]
Antena UHF plana para HD,"Sintoniza todos los canales abiertos en alta definición disponibles, Capta y disfruta los canales HD de TV abierta con esta antena hdtv. Está diseñada para ser instalada en interiores, en lugares donde la señal es buena, por ejemplo, áreas urbanas o ciudades que se encuentran cerca de las antenas repetidoras de TV.",Otros,[]
"Cable plug a plug RJ11 de 30m, para extensión telefónica","Cable telefónico con 2 conectores macho (plug) RJ11, de 4 hilos, para extensión. Mide 30 m y es de color marfil.",Otros,[]
"Repetidor Wi-Fi* 2,4 GHz (B/G/N), hasta 25 m de cobertura","Extiende la cobertura de tu red Wi-Fi para navegar en cualquier parte de tu casa u oficina, Con este repetidor expande la cobertura de Wi-Fi para que llegue a los lugares en los que no tenías a acceso a ella.",Otros,[]
"Modulador fijo con filtro SAW, para canal R (31)","Modulador fijo de Audio/Video para el canal R (31), con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 870 MHz, impedancia de salida de 75 Ω y relación Audio/Video de -10 a -20 dB (ajustable).",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal 11","Modulador fijo de Audio/Video para el canal 11, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Cable VGA de 3,6 m reforzado y con filtros de ferrita","Con este cable VGA podrás enviar video desde tu laptop, PC o grabador de video a alguna TV o proyector que se encuentre alejado, es perfecto para salas de juntas empresariales, salones de clases o sólo para proyectar contenido desde tu computadora y tener la comodidad de trabajar en una pantalla más grande.Está fabricado con materiales de alta calidad en forma robusta para evitar daños por manipulación, tiene recubrimiento en oro Premium en los conectores para asegurar una transferencia de datos correcta y núcleos de ferrita en los extremos del cable lo que asegura la calidad de la imagen.",Otros,[]
"Conector macho tipo ""F"" (campanita) para cable RG6","Conector macho (plug) tipo ""F"" (campanita) para cable coaxial RG6, con anillo suelto.",Otros,[]
Audífonos in-ear para Gamers,"¡Gran calidad de audio que te envuelve en la acción!, Con estos audífonos, adéntrate totalmente en tus videojuegos de PC o laptop, con una gran calidad de audio que te envolverá y ambientará la acción.",Otros,[]
"Modulador fijo con filtro SAW, para canal 5","Modulador fijo de Audio/Video para el canal 5, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 870 MHz, impedancia de salida de 75 Ω y relación Audio/Video de -10 a -20 dB (ajustable).",Otros,[]
"Plug banana, rojo","Conector macho (plug) tipo Phillips (banana), para soldar. Fabricado en plástico color rojo.",Otros,[]
"Malla organizadora de cables, 2 cm de ancho","Esta malla pasa cables u organizadora de cables está especialmente diseñada para la agrupación y protección de arneses que se utilizan en instalaciones de cómputo, telefonía y más.",Otros,[]
Lámpara detectora de billetes falsos,", Con esta lámpara podrás detectar billetes o vales de despensa falsos que intenten darte en tu negocio. Solo debes colocar el billete o vale sobre la base de la lámpara y su luz negra reflejará las marcas de seguridad que deben tener, así asegurarás fácilmente y con certeza que son auténticos.",Otros,[]
"Adaptador elite de plug 3,5 mm a jack 2,5 mm, estéreo","Adaptador de conector macho (plug) 3,5 mm estéreo a conector hembra (jack) 2,5 mm. Con acabado dorado de 24 K.",Otros,[]
"Modulador fijo con filtro SAW, para canal B (15)","Modulador fijo de Audio/Video para el canal B (15), con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 870 MHz, impedancia de salida de 75 Ω y relación Audio/Video de -10 a -20 dB (ajustable).",Otros,[]
Audífonos Bluetooth* Sport Free con cable plano,¡Música para toda tu rutina de ejercicio!,Otros,[]
Cople HDMI®,", Utiliza este cople para unir 2 cables HDMI*® y lograr más longitud, así podrás conectar tus dispositivos a más distancia. Tiene conectores hembra en ambos extremos.",Otros,[]
"Bocina Bluetooth* BoomBox TWS, 350 W PMPO, roja","TWS: Vincula 2 Boom Box y obtén sonido estéreo, ¡Revienta la fiesta con la potencia de esta bocina Bluetooth*!",Otros,[]
Bocina Bluetooth* mini SoundBar con acabado textil rojo,"¡Haz que tu música se escuche a donde quiera que vayas!, Ponle más potencia a tu música con esta bocina tipo soundbar que además incorpora tecnología Bluetooth*, para que vincules tu celular o tablet y reproduzcas sin cables.",Otros,[]
"Micrófono inalámbrico de mano, VHF","Ideal para conferencias o eventos escolares, Usa este micrófono inalámbrico para divertirte cantando en karaoke con tu familia y amigos, o para dirigir eventos escolares, presentaciones, conferencias y más.",Otros,[]
Video timbre Wi-Fi*,"La seguridad de observar y escuchar quién toca la puerta ¡Desde donde estés!, Ten la seguridad de observar y escuchar a quién toca la puerta, desde donde estés, en tu celular.",Otros,[]
Soporte de techo para proyectores Epson*,"Coloca tu proyector EPSON* en el techo y optimiza el espacio, Con este soporte, instala tu proyector en el techo y ten el espacio óptimo para llevar acabo tus reuniones de trabajo o de entretenimiento.",Soporte TV,"El Soporte de Techo para Proyectores Epson* de Steren es la solución perfecta para optimizar el espacio. Esta base para TV es fácil de instalar en el techo con la ayuda de la instalación de Simplo. El soporte para pantalla es resistente y seguro para mantener tu proyector en el techo. El brazo para TV está diseñado para soportar hasta 20 kg de peso, lo que te ofrece la seguridad de que tu proyector estará seguro. Este soporte para techo es ideal para reuniones de trabajo o entretenimiento. El soporte para techo para proyectores Epson* de Steren es la mejor opción para optimizar el espacio y mantener tu proyector seguro."
"Cable de plug 2.5 mm a jack 3.5 mm, de 10 cm, estéreo",Arnés adaptador \xa0de plug 2.5 mm a jack de 3.5 mm de 10 cm de longitud. Es ideal para conectar cualquier audífono estándar a un reproductor de audio o teléfono celular con entrada de 2.5 mm. Sus materiales son flexibles y los conectores tienen recubrimiento dorado.,Otros,[]
"Cable 4 en 1, USB/USB C a Lightning/USB C de 1 m","¡Resuelve todas tus necesidades de conexión con un solo cable!, ¡Resuelve todas tus necesidades de conexión con un solo cable!",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""JJ""","Modulador fijo de Audio/Video para el canal JJ, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Cámara de seguridad CCTV digital Full HD, tipo mini bala, tetrahíbrida, metálica","Su tecnología Tetra Híbrida la hace compatible con cualquier DVR (analógico o digital), Con esta cámara digital para CCTV vigila cualquier lugar de forma segura y discreta, con imágenes realmente nítidas, ya que es Full HD y graba en una resolución de hasta 1080p, lo que permite capturar y ver detalles que con cámaras convencionales no podrías.",Otros,[]
"Repetidor Wi-Fi* de doble banda 2,4 GHz y 5 GHz (B/G/N/A/AC), hasta 40 m de cobertura","Extiende la cobertura de tu red Wi-Fi para navegar en cualquier parte de tu casa u oficina, Este equipo extiende la cobertura de tu señal Wi-Fi para que puedas navegar en Internet en los lugares donde no tienes acceso. Elige el modo que más se acomode a tus necesidades de conexión:",Otros,[]
Sensor de movimiento (PIR) Wi-Fi*,"¡Convierte tu casa en una Smart Home y mantente alerta de cada movimiento!, ¡Convierte tu casa en una Smart Home y mantente alerta de cada movimiento!",Otros,[]
"Cable telefónico modular, 4 Vías, 28 AWG, color blanco",", Cable modular de 4 vias, calibre 28 AWG (7 hilos calibre 32 AWG) en color blanco, para extensiones o conexiones en redes telefónicas. Se vende por metro o en rollo de 305 m.",Otros,[]
"Adaptador de plug 6,3 mm a jack RCA, monoaural","Adaptador de conector hembra (jack) RCA a conector macho (plug) de 6,3 mm, monoaural.",Otros,[]
"Extensión de 3 contactos con clavija a 90°, de 4 m",Para conectar hasta 3 equipos diferentes con una sola línea de extensión,Otros,[]
"Candado de seguridad, de 1 1/8 pulgadas","Candado de seguridad para proteger conexiones de CATV y satélite. Fabricado en fundición de metal de 1,5 mm de espesor, mide 26,5 mm de largo por 15 mm de diámetro. Importado.",Otros,[]
Foco LED Wi-Fi RGB+W multicolor de 10 W,"Iluminación multicolor. Controla el encendido, apagado y matices desde la palma de tu mano., ¡Convierte tu casa en una Smart Home y ambienta sus espacios con iluminación multicolor!",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""XX""","Modulador fijo de Audio/Video para el canal XX, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Audífonos Bluetooth ergonómicos FreePods Touch True Wireless, blancos",¡Disfruta de tu música favorita libre de cables!,Otros,[]
"Adaptador de 2 plugs RCA a jack 3,5 mm, estéreo","Adaptador de dos conectores macho (plug) RCA a un conector hembra (jack) de 3,5 mm estéreo.",Otros,[]
Apagador Wi-Fi* touch doble sin neutro,"Iluminación inteligente para casa y oficina. NO necesitas cable neutro, Con este apagador Wi-Fi* doble, tendrás iluminación inteligente en tu casa u oficina. Se vincula a redes de 2,4 GHz, lo que asegura un mayor alcance inalámbrico para que lo instales en donde quieras.",Otros,[]
"Cable Ethernet UTP CAT 6, de 2,1 m","Cable de parcheo UTP (Par trenzado sin blindar) de Categoría 6, color gris, calibre 24 AWG, de 2,1 m de largo, con conectores macho (Plug) RJ45, para mejor transmisión de señal de hasta 1 Gbps.",Otros,[]
Convertidor HDMI a RCA,"Conecta tus dispositivos digitales (HDMI) a tu TV con entradas análogas (RCA), Con este convertidor, conecta por HDMI dispositivos digitales, como un Blu-ray, laptop o consola de videojuegos a una TV o pantalla con RCA.",Otros,[]
"Alambre estañado para conexiones, 22 AWG, color rojo",", Alambre estañado para conexiones, color rojo, calibre 22 AWG, útil para tablillas de conexión de circuitos electrónicos (protoboard). Se vende por metro o en rollo de 1000 m.",Otros,[]
"Divisor de 2 salidas, 75 Ohms, 1 GHz, con caja soldada","Divisor-mezclador (Splitter) de alto rendimiento, de caja soldada.- Es de 2 salidas de 75 Ohms para señal de 1 GHz (TV y/o CATV) - Pérdida por inserción de 3,5 dB- Pérdida por retorno de 28 dB- Caja soldada de aleación de zinc recubierta de latón para protegerla contra la corrosión- Blindaje superior contra la interferencia electromagnética (EMI) &gt;-130 dB.",Otros,[]
"Soporte para pantallas de 37"" a 90"", con brazo articulado","¡Una gran pantalla merece tener un excelente soporte! Optimiza al máximo el espacio y obtén movimiento total para tu TV, Con este soporte, instala tu pantalla en el lugar que quieras y optimiza tu espacio de entretenimiento.",Soporte TV,"El Soporte para Pantallas de 37"" a 90"" con Brazo Articulado de Steren es la solución perfecta para tu espacio de entretenimiento. Esta base para TV está diseñada para optimizar al máximo el espacio de tu hogar, ofreciendo una gran movilidad para tu pantalla. Su instalación de Simplo te permitirá colocar tu televisión en el lugar que desees. El brazo para TV se ajusta perfectamente a la pantalla, ofreciendo una gran estabilidad para la misma. El Soporte para Pantallas de Steren es una excelente opción para quienes buscan una solución práctica y segura para su espacio de entretenimiento. Su diseño robusto y moderno, hará que tu sala de estar destaque por su belleza y funcionalidad. ¡Optimiza al máximo tu espacio con el Soporte para Pantallas de Steren!"
"Transmisor de audio inalámbrico, para instrumentos","¡Transforma tus instrumentos en inalámbricos!, Transforma tus instrumentos alámbricos en inalámbricos con este transmisor de audio. Olvídate de los cables y toca moviéndote en el escenario sin estorbosos cables. Su alcance de transmisión es de hasta 50m.",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""V""","Modulador fijo de Audio/Video para el canal V, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
Micrófono USB de condensador para PC,"Ideal para voz, instrumentos, grabación en estudio o locución, Mejora la recepción de audio en tu PC o laptop y realiza videoconferencias, programas de chat, transmisiones en vivo y más.",Otros,[]
Extensor de video BNC por cable UTP (Balun),Haz instalaciones de cámaras de seguridad a máxima distancia,Otros,[]
Caja fuerte electrónica mediana,"Resguarda tus valores y mantenlos totalmente seguros, Resguarda tus documentos y pertenencias de valor en esta caja fuerte (caja de seguridad).",Otros,[]
Plug Cannon metálico,"Conector macho (plug) tipo Cannon* (XLR), para extensión de cable. Fabricado en metal color plata.",Otros,[]
"Audífonos Bluetooth ergonómicos FreePods Touch True Wireless, azules","Para una experiencia de audio más envolvente, estos audífonos Bluetooth True Wireless Stereo (TWS) funcionan sin conexión alámbrica alguna, así que podrás disfrutar tu música favorita con verdadero sonido estéreo.",Otros,[]
"Modulador fijo con filtro SAW, para canal 2","Modulador fijo de Audio/Video para el canal 2, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 870 MHz, impedancia de salida de 75 Ω y relación Audio/Video de -10 a -20 dB (ajustable).",Otros,[]
"Control USB / Bluetooth* para videojuegos compatible con PC, PS3 y celular","Olvídate de combinaciones en el teclado y disfruta videojuegos en tu PC, laptop o celular, Con este control para videojuegos, realiza fácilmente y con mayor rapidez tus mejores movimientos y trucos.",Otros,[]
"Bocina de 4"" (10 cm) 7 W PMPO","Bocina de 4 pulgadas (10 cm), con impedancia de 8 Ohms y 7 Watts de potencia PMPO. Puede usarse en TV portátiles, teléfonos, radios, grabadoras, reproductores de CD, mini bafles, bafles caseros, bafles profesionales y más.",Otros,[]
"Radio intercomunicador profesional, hasta 4 km de alcance",Obtén comunicación confiable,Otros,[]
"Control de acceso RFID y teclado numérico, compacto","Control total de entradas, Este dispositivo permite restringir o controlar el acceso de personas a cualquier inmueble, a través de códigos numéricos o por medio tarjetas de identificación por radiofrecuencia o RFID (de venta por separado).",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""B""","Modulador fijo de Audio/Video para el canal B, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Audífonos multimedia doble plug 3,5 mm ultraconfort","Ultra confort, calidad de audio y claridad de voz para hablar en Internet, Disfruta de tus llamadas por internet y de tus juegos en línea, con estos audífonos para computadora, que ofrecen excelente calidad de audio y claridad de voz; todo con el máximo confort para que los uses por largo tiempo.",Otros,[]
Cople de jack a jack RCA,Adaptador de conector hembra (jack) RCA a conector hembra (jack) RCA.,Otros,[]
Audífonos manos libres Sport con cable delgado,Escucha toda tu música por horas con la mayor comodidad y calidad de audio que te ofrecen estos audífonos.,Otros,[]
"Cable plug 3,5 mm a 2 plug RCA de 15 cm, ultradelgado","Adaptador duplex de audio, con dos conectores macho (plug) RCA a un conector macho (plug) de 3,5 mm estéreo. Su cable es blindado en espiral y mide 15 cm.",Otros,[]
"Cable Ethernet UTP CAT 5e, de 90 cm","Transmite voz y datos hasta a 1 000 Mbps, Este cable de red tiene 90 centímetros de longitud, por lo que podrás conectar a tu módem equipos como, computadoras de escritorio, laptops, Smart TV, Blu-ray o consolas de videojuegos y disfrutar de una señal de Internet más estable.",Otros,[]
Mouse USB profesional vertical para Gamers,¡Compite al más alto nivel con precisión y velocidad!,Otros,[]
"Acoplador direccional con 2 Taps, 20 dB de atenuación, con caja soldada","Acoplador direccional de 1 GHz con dos derivaciones (Tap) de 20 dB de atenuación. Tiene un rango de operación de 5 a 1000 MHz, para uso en interiores y exteriores, su caja es soldada y cuenta con blindaje contra interferencia electromagnética (EMI) &gt; -130 dB",Otros,[]
"Cable USB a USB C de 1,2 m","Conecta dispositivo USB C a equipos de conexión estándar USB, ¡Recarga batería y transfiere datos a alta velocidad!",Otros,[]
"Bolsa de 100 cinchos sujetacables medianos, color blanco","Bolsa de 100 cinchos sujetacables (TY-RAP*) de nylon color blanco, de 0,48 cm de ancho x 19 cm de largo, con fuerza de tensión de amarre de 22 Kg. Ideal para organizar todo tipo de cables eléctricos o de uso electrónico.",Otros,[]
Cople de 2 jacks a 2 jacks RCA,Adaptador de dos conectores hembra (jack) RCA a dos conectores hembra (jack) RCA.,Otros,[]
Transformador de línea 12 W,"Haz que tus instalaciones de audio lleguen más lejos, ¡Dale potencia al sonido para que llegue más lejos! Utiliza este transformador de línea ideal para amplificadores.",Otros,[]
Convertidor Smart TV Android TV Box,"¡Transforma tu pantalla en Smart TV! Disfruta música, películas, juegos, apps, redes sociales y más, ¡Transforma tu pantalla en una Smart TV!",Otros,[]
Carátula para apagador touch Wi-Fi* SHOME-213,"Dales un estilo diferente a tus apagadores touch Smart, Dales un estilo diferente a tus apagadores Wi-Fi* touch inteligentes, con esta carátula.",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""CCC""","Modulador fijo de Audio/Video para el canal CCC, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 300 a 550 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
Modulo codificador MPEG-2/H.264 HD dual,"Este modulo es la tarjeta necesaria para agregar los puertos de entrada a la plataforma de modulación profesional QAM PD1000, esta puede operar hasta con 4 módulos EM-2HD lo cual le da la capacidad de codificar 8 señales HD por HDMI y/o video componente o señales SD por video compuesto.",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""U""","Modulador fijo de Audio/Video para el canal U, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Divisor RF de 3 salidas, 75 Ohms, 1 GHz, con caja soldada","Divisor (Splitter) de alto rendimiento, para señal de radiofrecuencias de TV",Otros,[]
"Cable coaxial RG6, 50% malla de aluminio sin estañar, blanco",", Cable coaxial RG6, de 75 Ohms y 50% de malla de aluminio sin estañar, útil para sistemas de televisión abierta o de paga. Se vende por metro o en rollo de 305 m.",Otros,[]
Audífonos de diadema resistentes con cable ultraplano duo color,Audífonos de Diadema ajustable que la hace cómoda y ergonómica.,Otros,[]
"Cable auxiliar plug a plug 3,5 mm de 1,8 m, ultradelgado y conectores reforzados","Cable de audio fabricado con las mejores técnicas y materiales para ser muy delgado y tener las mismas capacidades que cualquier cable robusto. Tiene conectores macho de 3,5 mm estéreo con acabado oro Premium de alto rendimiento. Incorpora cubierta metálica que ofrece un mayor blindaje y evita la interferencia, garantizando la correcta transmisión de audio entre sus equipos.",Otros,[]
"Cable HDMI® 2.0 de alta velocidad, de 2 m","Transmite contenido de audio y video digital en UHD (hasta 8K) a una super velocidad, Con este cable HDMI, transmite contenido de audio y video digital en ultra alta definición (hasta 4K) con alta velocidad.",Otros,[]
Pantalla inteligente con Alexa y cámara de 13 MPx (2da Gen) más focos Wi-Fi (ECHO SHOW 8 NE / SHOME-120/3),"Con esta pantalla con Alexa, los focos Wi-Fi comienza a hacer tu casa inteligente. Controla la iluminación con tu voz creando rutinas que harán tu vida más fácil.",Otros,[]
Antena UHF aérea de 20 elementos HD,"Capta la señal de alta definición y disfruta de toda la programación de TV abierta con excelente calidad de imagen., Esta antena hdtv aérea recibe la señal UHF en la que se transmiten los canales de alta definición, para que disfrutes en tu pantalla de todo el contenido con la mejor calidad de imagen.",Otros,[]
"Cable telefónico modular, 4 Vías, 28 AWG, color marfil",", Cable modular de 4 vias, calibre 28 AWG (7 hilos calibre 32 AWG) en color marfil, para extensiones o conexiones en redes telefónicas. Se vende por metro o en rollo de 305 m.",Otros,[]
