Producto,Descripcion,Link
Placa 2H Premium PRE16412 Blanco,Placas para cajetín empotrado para la combinación y montaje de cualquier tipo de módulo de la línea Premium,https://www.llanodelatorre.com.mx/406-25-placa-2h-pre16412-premium-blanco/p
Bomba presurizadora Mini 0020-0010 RW12,Mini presurizador RW 12 MINI,https://www.llanodelatorre.com.mx/presurizador-0020-0010-rw12-mini/p
Contacto Premium PRE16511 Blanco,"Considerado como un dispositivo para seguridad eléctrica, el tomacorriente GFCI funciona de manera diferente a los tomacorrientes convencionales",https://www.llanodelatorre.com.mx/406-5-contacto-pre16511-premium-blanco/p
"Sapo 2"" Azul P-B6025",Para válvulas de descarga con ó sin soportes laterales,https://www.llanodelatorre.com.mx/sapo-p-b6025-2-azul/p
"Cisterna Aquaplas Básica 5,000 L",Fabricadas con polietileno de alta resistencia que garantiza su larga duración e impide la filtración de agua al subsuelo,https://www.llanodelatorre.com.mx/cisterna-aquaplas-basica-5000-lt/p
Bomba presurizadora Tango SFL 14 0006-0024,"Aumento de presión de agua en residencias en general, nuevas o antiguas con tanque elevado. Apto para viviendas con tuberías de 20 años o más. Hasta 3 duchas",https://www.llanodelatorre.com.mx/bomba-0006-0024-tango-sfl-14/p
Llave 3401CV Cromo,Llave de control angular de latón de 1/4 de vuelta,https://www.llanodelatorre.com.mx/llave-3401cv-cromo/p
Dimmer Premium PRE16344 Blanco,Dispositivo que permite la regulación y el control ON/OFF (conexión y desconexión) de la tensión eléctrica,https://www.llanodelatorre.com.mx/406-19-dimmer-pre16344-premium-blanco/p
MG 4140AL Aluminio,Manguera para lavabo de 40 cm,https://www.llanodelatorre.com.mx/mg-4140al-aluminio/p
Contacto TV Premium PRE16320 Blanco,"Este dispositivo es uno de los conectores usados para transportar señales eléctricas de alta frecuencia. Su uso suele ser común para conectar cables coaxiales de antenas de televisión, televisión por cable, etc.",https://www.llanodelatorre.com.mx/406-18-contacto-tv-pre16320-premium-blanco/p
Coflex para gas AG-B60 60 cm,"Conector flexible para gas uso doméstico 3/8"" Flare X 3/8"" Flare",https://www.llanodelatorre.com.mx/coflex-ag-b60-60cm-gas/p
Coflex para gas AG-B100 100 cm,"Conector flexible para gas uso doméstico 3/8"" Flare X 3/8"" Flare",https://www.llanodelatorre.com.mx/coflex-ag-b100-100cm-gas/p
MG LALL-40 3140 Acero Inoxidable,"Tuercas de latón, temperatura máxima de 86° C, empaque elastómero para sello perfecto, espiga de latón",https://www.llanodelatorre.com.mx/mg-lall-40-3140-a-inox/p
Placa 3H Premium PRE16429 Blanco,Placas para cajetín empotrado para la combinación y montaje de cualquier tipo de módulo de la línea Premium,https://www.llanodelatorre.com.mx/406-26-placa-3h-pre16429-premium-blanco/p
Placa 6H Premium PRE16436 Blanco,Placas diseñadas para el uso en el porta módulo de 6 posiciones que mantienen las características de las placas normales,https://www.llanodelatorre.com.mx/406-28-placa-6h-pre16436-premium-blanco/p
Bomba presurizadora Inteligente 20 0008-0005,Abastecimiento de agua para toda vivienda. Apta para bombear agua potable sin residuos. Para viviendas de 1 a 3 plantas,https://www.llanodelatorre.com.mx/bomba-0008-0005-inteligente-20/p
Purificador de Agua Bajo Tarja 300009,"Provee agua ideal para beber, libre del 99.99% de bacterias",https://www.llanodelatorre.com.mx/purificador-300009-de-agua-bajotarja/p
Mixto PRE16788 Premium Blanco,Dispositivo diseñado para compartir las funciones de una base de carga USB y un tomacorriente usado para establecer una conexión eléctrica en una sola placa,https://www.llanodelatorre.com.mx/406-6-mixto-pre16788-premium-blanco/p
Interceptor para Grasa IG-20,"Trampa de grasa con canastilla para sedimentos solidos, 18 kg de capacidad, conexión para tubo de 2""",https://www.llanodelatorre.com.mx/interceptor-para-gra-ig-20/p
"Cisterna C/Equipo 510159 1.40X0.93 1,200 L",Las cisternas Rotoplas cuentan con garantía de por vida y están equipada con Filtro Hydro-Net®,https://www.llanodelatorre.com.mx/cisterna-cequipo-510159-140x093-1200-lt/p
Manguera para Lavabo AL-A40,"Conector flexible para agua 1/2"" F.I.P. X 1/2"" F.I.P.",https://www.llanodelatorre.com.mx/manguera-al-a40-plav/p
Llave 3401BSC,Llave de control angular de latón con barrilito sin contratuerca,https://www.llanodelatorre.com.mx/llave-3401bsc/p
Desagüe H-7190,Desagüe para tina con sistema de push,https://www.llanodelatorre.com.mx/desague-h-7190/p
Placa 3H Plura PLU60002 Negro,Placas decorativas utilizadas para la instalación en combinación con marcos y módulos de la serie plura,https://www.llanodelatorre.com.mx/406-58-placa-3h-plu60002-plura-negro/p
Bomba presurizadora Tango SFL 9 0006-0023,"Aumento de presión de agua en residencias en general, nuevas o antiguas con tanque elevado. Apto para viviendas con tuberías de 20 años o más. Hasta 2 duchas",https://www.llanodelatorre.com.mx/bomba-0006-0023-tango-sfl-9/p
Apagador Premium PRE16122 Blanco,"Son utilizados comúnmente en el encendido y apagado de circuitos de iluminación, compatible con todo tipo de bombillos, incandescentes, fluorescentes, ahorradores, LEDs, entre otros",https://www.llanodelatorre.com.mx/406-14-apagador-pre16122-premium-blanco/p
Bomba presurizadora Max Press 26 E 0005-0594,"Aumento de la presión de agua en viviendas en general con cisterna o tanque elevado. Bajo consumo, seguridad y confiabilidad",https://www.llanodelatorre.com.mx/max-press-0005-0594-26-e/p
Llave 652,"Cartucho vástago ascendente refaccionable , soldables, no incluye manerales, Incluye 2 llaves de empotrar",https://www.llanodelatorre.com.mx/llave-652/p
MG WALL-35 3135 Acero Inoxidable,"Tuercas de latón, temperatura máxima de 86° C, empaque elastómero para sello perfecto, espiga de latón",https://www.llanodelatorre.com.mx/mg-wall-35-3135-a-inox/p
Interruptor Plura PLU60729 Blanco,"Dispositivo que permite el Control ON/OFF (conexión y desconexión) de la corriente eléctrica en toda clase circuitos eléctricos con cargas resistivas, inductivas, instalaciones eléctricas residenciales o comerciales",https://www.llanodelatorre.com.mx/406-73-interruptor-plu60729-plura-blanco/p
Placa 1H Premium PRE16405 Blanco,"Placas para cajetín empotrado para la combinación y montaje de cualquier tipo de módulo de la línea Premium, placa de uno, dos y tres huecos, placa ciega para cubrir el cajetín empotrado",https://www.llanodelatorre.com.mx/406-24-placa-1h-pre16405-premium-blanco/p
Tanque Estacionario Horizontal 180 L,"Tanques estacionarios para contener gas LP, de acuerdo a las normas oficiales mexicanas vigentes (NOM) y a los más altos estándares internacionales (ASME)",https://www.llanodelatorre.com.mx/tanque-estacionario-horiz-cytsa-180lt/p
Lavadero Granito 52 X 52 cm,"En su diseño está empleada la más alta tecnología sumada a la más alta calidad para ofrecer un producto con inigualables ventajas resultando en un producto fuerte, resistente y durable, que puede ser utilizado en interior o exterior",https://www.llanodelatorre.com.mx/lavadero-52x52-granito/p
Placa 3H Plura PLU62082 Bamboo,Placas decorativas utilizadas para la instalación en combinación con marcos y módulos de la serie plura,https://www.llanodelatorre.com.mx/406-66-placa-3h-plu62082-plura-bamboo/p
Tanque Estacionario Horizontal 300 L,"Tanques estacionarios para contener gas LP, de acuerdo a las normas oficiales mexicanas vigentes (NOM) y a los más altos estándares internacionales (ASME)",https://www.llanodelatorre.com.mx/tanque-estacionario-horiz-cytsa-300lt/p
Bomba presurizadora Tango SFL 20 0006-0025,"Aumento de presión de agua en residencias en general, nuevas o antiguas con tanque elevado",https://www.llanodelatorre.com.mx/bomba-0006-0025-tango-sfl-20/p
Llave de Control Angular 1/2 Rosca IP-138,"Llave de control angular de 1/4 de Vuelta 1/2"" FNPT X 1/2"" M.",https://www.llanodelatorre.com.mx/llave-angular-ip-138-12-rosc/p
Llave de Control Angular IP-104 1/2,"Llave de control tradicional 1/2"" FNPT X 1/2"" M. angular",https://www.llanodelatorre.com.mx/llave-control-ip-104-12-angular/p
Lavadero Granito 71 X 67 cm,"En su diseño está empleada la más alta tecnología sumada a la más alta calidad para ofrecer un producto con inigualables ventajas resultando en un producto fuerte, resistente y durable, que puede ser utilizado en interior o exterior",https://www.llanodelatorre.com.mx/lavadero-71x67-granito/p
Llave 3401SC Cromo,Llave de control angular de latón sin contratuerca,https://www.llanodelatorre.com.mx/llave-3401sc-cromo/p
Bomba presurizadora Max SFL 26 0004-0096,"Aumento de presión de agua en residencias en general, nuevas o antiguas con tanque elevado. Apto para viviendas con tuberías de 20 años o más. Hasta 6 duchas",https://www.llanodelatorre.com.mx/bomba-0004-0096-max-sfl-26/p
"Cisterna S/Equipo 510156 2.38X1.33 5,000 L",Las cisternas Rotoplas cuentan con garantía de por vida y están equipada con Filtro Hydro-Net®,https://www.llanodelatorre.com.mx/cisterna-sequipo-510156-238x133-5000-lt/p
Módulo USB Premium PRE16795 Blanco,"La base de carga USB de carga rápida es un dispositivo diseñado para proveer de  energía eléctrica rápidamente a equipos con puerto de carga tipo USB como teléfonos, tablets, cámaras fotográficas, entre otros dispositivos",https://www.llanodelatorre.com.mx/406-21-modulo-usb-pre16795-premium-blanco/p
MG 4155AL,Manguera para fregadero de 55 cm,https://www.llanodelatorre.com.mx/mg-4155al/p
"Llave de Control P/T IP-100 1/2"" N.P.T. 1/2"" M.A","Llave de control tradicional 1/2"" FNPT X 1/2"" M. angular",https://www.llanodelatorre.com.mx/llave-de-control-pt-ip-100-12-npt-12-ma/p
Acondicionador de Aguas Duras SS-1,Acondicionador para aguas duras de corriente sin sarro,https://www.llanodelatorre.com.mx/acondicionador-de-ag-ss-1/p
Paquete para Fregadero PS-F006,"Paquete para instalación de fregadero, 1 tarja, tubo de cobre, contra canasta",https://www.llanodelatorre.com.mx/paquete-ps-f006-pfreg/p
Pulsador Premium PRE16306 Blanco,Dispositivo que permite el flujo de corriente eléctrica mientras está accionado,https://www.llanodelatorre.com.mx/406-2-pulsador-pre16306-premium-blanco/p
Coflex para fregadero AL-A55 55 cm,"Conector flexible para agua 1/2"" F.I.P. X 1/2"" F.I.P.",https://www.llanodelatorre.com.mx/coflex-al-a55-pfreg-55cm/p
Tomacorriente Plura PLU60880 Blanco,Dispositivo usado para establecer una conexión eléctrica mediante la inserción de una clavija que permite el paso de corriente eléctrica. Apropiado para la conexión de  elementos eléctricos,https://www.llanodelatorre.com.mx/406-72-tomacorriente-plu60880-plura-blanco/p
Módulo HDMI Premium PRE16825 Blanco,"Este dispositivo es uno de los conectores para proveer una interfaz entre cualquier  fuente de audio y video digital como reproductor Blu-ray, televisores de alta definición, consolas de juegos, monitores audio/video digitales, computadores, etc",https://www.llanodelatorre.com.mx/406-22-modulo-hdmi-pre16825-premium-blanco/p
Llave 9652,"Cartucho 1/4 de vuelta refaccionable, soldables, no incluye manerales, Incluye 2 llaves de empotrar",https://www.llanodelatorre.com.mx/llave-9652/p
Lavadero Granito 107 X 84 cm,"En su diseño está empleada la más alta tecnología sumada a la más alta calidad para ofrecer un producto con inigualables ventajas resultando en un producto fuerte, resistente y durable, que puede ser utilizado en interior o exterior",https://www.llanodelatorre.com.mx/lavadero-107x84-granito/p
Contacto Premium PRE16191 Blanco,Dispositivo usado para establecer una conexión eléctrica mediante la inserción de una clavija que permite el paso de corriente eléctrica. Apropiado para la conexión de  elementos eléctricos,https://www.llanodelatorre.com.mx/406-12-contacto-pre16191-premium-blanco/p
Tapa PRE16672 Premium Gris,"Fácil instalación, apto para material eléctrico empotrable, diseñado para proteger y resistir condiciones ambientales en exteriores, apto para material eléctrico empotrable, diseñado para la proteger y resistir condiciones ambientales en exteriores",https://www.llanodelatorre.com.mx/406-1-tapa-pre16672-premium-gris/p
Contacto Premium PRE16382 Blanco,Dispositivo usado para establecer una conexión eléctrica mediante la inserción de una clavija que permite el paso de corriente eléctrica. Apropiado para la conexión de  elementos eléctricos,https://www.llanodelatorre.com.mx/406-4-contacto-pre16382-premium-blanco/p
[],[],[]
